Close,High,Low,Open,Volume,Date
20.525285721,20.712219106,20.450512367,20.618752414,91400,2000-09-18
20.936546326,20.936546326,20.562679427,20.674839497,95900,2000-09-19
20.525285721,20.843072476,20.375739012,20.824379138,44300,2000-09-20
20.600065231,20.600065231,20.18881166,20.525291855,47200,2000-09-21
20.712226868,20.712226868,20.188813192,20.188813192,45300,2000-09-22
20.909631729,21.113013158,20.757093376,20.942529921,79700,2000-09-25
21.080118179,21.340328154,20.936552246,21.190781352,73700,2000-09-26
21.265562057,21.415108911,21.190788631,21.241634013,70800,2000-09-27
21.684280396,21.684280396,21.08609335,21.08609335,50300,2000-09-28
21.3552742,21.564638717,21.265545247,21.456964885,91700,2000-09-29
21.190784454,21.489878102,21.056193226,21.295466775,55600,2000-10-02
21.651384354,21.827850755,21.642411911,21.654375928,72900,2000-10-03
21.788959503,21.863732873,21.609503872,21.714186133,71900,2000-10-04
22.342290878,22.342290878,21.788968178,21.788968178,62300,2000-10-05
21.570636749,22.05815862,21.564653598,21.77402054,74600,2000-10-06
21.244615555,21.295460913,21.041231839,21.235643113,37300,2000-10-09
20.715219498,20.876730285,20.667363435,20.831865797,62000,2000-10-10
20.413129807,20.472947589,19.844851744,19.889716222,157300,2000-10-11
19.880758286,20.727193991,19.874775134,20.712238393,94600,2000-10-12
20.634462357,20.637453931,19.805974268,19.805974268,105700,2000-10-13
21.235637665,21.370228822,20.861770804,20.861770804,102400,2000-10-16
20.954494476,21.37023435,20.876731792,21.277516075,56500,2000-10-17
20.293497086,20.742137414,20.09908582,20.143950309,80000,2000-10-18
20.712226868,20.816909146,20.490898295,20.637453485,57900,2000-10-19
20.849813461,21.101053258,20.775040065,21.01132427,59000,2000-10-20
21.349292755,21.534731543,21.235638049,21.235638049,58000,2000-10-23
21.639419556,21.759057441,21.391171342,21.450991426,55200,2000-10-24
21.160871506,21.624467483,21.145915913,21.385191698,46900,2000-10-25
20.996362686,21.13095613,20.727180363,20.936544899,68000,2000-10-26
20.936546326,20.936546326,20.562679427,20.891681841,50100,2000-10-27
21.142917633,21.142917633,20.562675585,20.562675585,57300,2000-10-30
21.564649582,21.624469675,21.385193866,21.534740676,61200,2000-10-31
21.923563004,21.923563004,21.48987589,21.48987589,74400,2000-11-01
22.357250214,22.701208366,22.282476802,22.432023626,106900,2000-11-02
22.375188828,22.656337508,22.372199535,22.641381917,56900,2000-11-03
22.674278259,22.761015651,22.357239869,22.375184749,79200,2000-11-06
22.551656723,22.671294613,22.432018833,22.432018833,43300,2000-11-07
22.357250214,22.461932534,22.162838886,22.432023626,71300,2000-11-08
22.177787781,22.432016849,22.138904158,22.28247007,31600,2000-11-09
22.267513275,22.267513275,21.998330913,22.132922094,70400,2000-11-10
21.552684784,21.923562503,21.537731473,21.564648802,140200,2000-11-13
21.980384827,22.132923179,21.833829623,21.863738522,90800,2000-11-14
21.848789215,21.938515929,21.803924717,21.803924717,39300,2000-11-15
21.776994705,22.108988638,21.774005413,21.953461038,35100,2000-11-16
21.818881989,21.977403548,21.79495623,21.953475507,75100,2000-11-17
21.776994705,22.222645616,21.774005413,21.983369929,34400,2000-11-20
21.489875793,21.774016097,21.474922482,21.74410491,64800,2000-11-21
20.428091049,20.906640289,20.428091049,20.906640289,100700,2000-11-22
20.727191925,20.846827566,20.637462913,20.682327419,27500,2000-11-24
21.534734726,21.564643623,21.322378588,21.322378588,101400,2000-11-27
21.089090347,21.355283468,21.086098772,21.205736669,79600,2000-11-28
20.727191925,20.727191925,20.455015594,20.637462913,72000,2000-11-29
20.158901215,20.203765693,19.949534407,20.039263365,98500,2000-11-30
20.5477314,20.682324902,20.490905162,20.637460401,57000,2000-12-01
20.891689301,20.996371613,20.772051394,20.861780394,69500,2000-12-04
21.699232101,21.699232101,20.966451733,20.966451733,114500,2000-12-05
21.474918365,22.318362107,21.385189385,22.08805879,167500,2000-12-06
22.022264481,22.091057024,21.777007781,21.777007781,93800,2000-12-07
22.150878906,22.575593699,22.150878906,22.432027717,97400,2000-12-08
22.895618439,22.895618439,22.551660306,22.551660306,118600,2000-12-11
22.566602707,22.581558294,22.461920443,22.581558294,101900,2000-12-12
22.581573486,22.835802665,22.330335883,22.491844467,145800,2000-12-13
21.762044907,22.043191261,21.717180423,22.043191261,107700,2000-12-14
20.975431442,21.160870279,20.876732297,21.160870279,131700,2000-12-15
21.714193344,21.863740133,21.504828752,21.534737653,99800,2000-12-18
22.165817261,22.402101376,22.147872383,22.147872383,105100,2000-12-19
20.861776352,21.669328072,20.78700296,21.534736879,96200,2000-12-20
21.756082535,21.830855985,21.089104634,21.160886507,61400,2000-12-21
21.908596039,22.043187184,21.759049308,21.759049308,45500,2000-12-22
21.61249733,21.953463743,21.579596862,21.923554849,23000,2000-12-26
21.609508514,21.774010876,21.537726703,21.609508514,155200,2000-12-27
21.833833694,22.20770071,21.61250506,22.088062808,104300,2000-12-28
22.01329422,22.058158728,21.863747381,21.908611889,48800,2000-12-29
21.283496857,21.833827861,21.265549693,21.833827861,78300,2001-01-02
22.207706451,22.207706451,21.28051647,21.504836737,232700,2001-01-03
22.820840836,23.027213852,22.656338455,22.701202948,200000,2001-01-04
22.37220192,23.090024725,22.37220192,22.95543352,183500,2001-01-05
22.731113434,22.731113434,22.566611042,22.596522228,168300,2001-01-08
22.432010651,22.653339183,22.222646131,22.506784019,177600,2001-01-09
22.402103424,22.467904359,22.162827713,22.201711328,137700,2001-01-10
22.399114609,22.402106183,21.878692498,21.908601395,93800,2001-01-11
22.05814743,22.219658207,21.953465153,22.05814743,70600,2001-01-12
21.863733292,22.0731001,21.564639807,21.684277657,97500,2001-01-16
22.117969513,22.132925105,21.93851382,21.93851382,86200,2001-01-17
22.432010651,22.581557388,22.240591009,22.252555022,83300,2001-01-18
22.994312286,23.000295435,22.252561529,22.43201721,356600,2001-01-19
22.731113434,22.820842426,22.521748828,22.521748828,63700,2001-01-22
23.239562988,23.401073745,23.179745204,23.179745204,104400,2001-01-23
23.745037079,23.89757543,23.682227706,23.867666531,136100,2001-01-24
23.688203812,23.777932773,23.538657065,23.538657065,85400,2001-01-25
23.840744019,23.927481413,23.299385482,23.329294377,134800,2001-01-26
23.751020432,23.771956889,23.43397971,23.4788442,103400,2001-01-29
23.451921463,23.568567741,23.269474253,23.568567741,141300,2001-01-30
23.239562988,23.404065319,23.07506294,23.07506294,121500,2001-01-31
23.314336777,23.359201257,23.003281553,23.030198872,74900,2001-02-01
23.093008041,23.374156652,23.066090723,23.269474387,69400,2001-02-02
23.308361053,23.36518956,23.030203953,23.030203953,78200,2001-02-05
23.347244263,23.422017658,23.335280246,23.374163872,75100,2001-02-06
23.194705963,23.194705963,22.925521309,23.179750373,70800,2001-02-07
22.761018753,23.191714196,22.716154264,23.030203405,110500,2001-02-08
22.895618439,23.03020966,22.746071623,22.790933842,40400,2001-02-09
23.015247345,23.131893645,22.955429549,22.970385139,55000,2001-02-12
23.119937897,23.493804924,23.099001434,23.329302519,94500,2001-02-13
23.344249725,23.389111927,23.218628715,23.218628715,129500,2001-02-14
23.284435272,23.395100721,23.269481962,23.335280634,62600,2001-02-15
22.985343933,23.045164025,22.731114816,22.731114816,91700,2001-02-16
22.677268982,23.149837258,22.674277408,22.910561546,119400,2001-02-20
